iter	Passed	Remaining
865	5559	860
866	5566	853
867	5572	847
868	5578	840
869	5584	834
870	5590	828
871	5596	821
872	5602	815
873	5608	808
874	5614	802
875	5620	795
876	5626	789
877	5632	782
878	5638	776
879	5644	769
880	5651	763
881	5657	756
882	5667	750
883	5675	744
884	5682	738
885	5687	731
886	5693	725
887	5699	718
888	5705	712
889	5711	705
890	5721	699
891	5730	693
892	5736	687
893	5742	680
894	5748	674
895	5754	667
896	5760	661
897	5766	654
898	5772	648
899	5781	642
900	5787	635
901	5793	629
902	5799	622
903	5805	616
904	5811	610
905	5817	603
906	5823	597
907	5829	590
908	5835	584
909	5841	577
910	5847	571
911	5853	564
912	5859	558
913	5865	551
914	5871	545
915	5878	539
916	5884	532
917	5890	526
918	5896	519
919	5902	513
920	5908	506
921	5914	500
922	5920	493
923	5925	487
924	5931	480
925	5938	474
926	5944	468
927	5949	461
928	5956	455
929	5961	448
930	5968	442
931	5973	435
932	5979	429
933	5986	423
934	5994	416
935	6000	410
936	6007	403
937	6013	397
938	6020	391
939	6026	384
940	6032	378
941	6039	371
942	6046	365
943	6052	359
944	6059	352
945	6065	346
946	6072	339
947	6078	333
948	6085	327
949	6091	320
950	6098	314
951	6104	307
952	6110	301
953	6117	294
954	6123	288
955	6129	282
956	6136	275
957	6143	269
958	6149	262
959	6155	256
960	6162	250
961	6169	243
962	6175	237
963	6181	230
964	6188	224
965	6194	218
966	6200	211
967	6207	205
968	6214	198
969	6220	192
970	6227	185
971	6233	179
972	6240	173
973	6246	166
974	6253	160
975	6259	153
976	6266	147
977	6272	141
978	6279	134
979	6286	128
980	6292	121
981	6298	115
982	6305	109
983	6311	102
984	6318	96
985	6324	89
986	6331	83
987	6337	76
988	6344	70
989	6350	64
990	6356	57
991	6363	51
992	6369	44
993	6376	38
994	6382	32
995	6389	25
996	6395	19
997	6401	12
998	6408	6
999	6414	0
